Samples	Sig1	Sig2	Sig3	Sig4	Sig5	Sig6	Sig7
Liver-HCC::SP112221	0	0	0	8408	0	0	0
Liver-HCC::SP112228	0	0	0	11743	0	0	0
Liver-HCC::SP50099	0	0	0	15710	0	0	0
Liver-HCC::SP98981	0	0	0	7554	0	0	0
Liver-HCC::SP112234	0	0	0	19272	0	0	0
Liver-HCC::SP98985	0	0	0	12158	0	0	0
Liver-HCC::SP112237	0	0	0	6913	0	0	0
Liver-HCC::SP98989	0	0	0	0	0	0	5918
Liver-HCC::SP112241	0	0	0	10633	0	0	0
Liver-HCC::SP112245	0	0	0	5512	0	0	0
Liver-HCC::SP98991	0	0	0	0	0	0	5938
Liver-HCC::SP112248	0	0	0	12093	0	0	0
Liver-HCC::SP112051	0	0	0	17920	0	0	0
Liver-HCC::SP98997	0	0	0	30786	0	0	0
Liver-HCC::SP112252	0	0	0	15932	0	0	0
Liver-HCC::SP99001	0	0	0	7470	0	0	0
Liver-HCC::SP112257	0	0	0	2364	0	0	0
Liver-HCC::SP99007	0	0	0	6629	0	0	0
Liver-HCC::SP112261	0	0	0	6542	0	0	0
Liver-HCC::SP50101	0	0	0	8746	0	0	0
Liver-HCC::SP112265	0	0	0	7151	0	0	0
Liver-HCC::SP112268	0	0	0	0	0	0	19111
Liver-HCC::SP99011	0	0	0	22294	0	0	0
Liver-HCC::SP112269	0	0	0	16800	0	0	0
Liver-HCC::SP99013	0	0	0	8928	0	0	0
Liver-HCC::SP112273	0	0	0	21466	0	0	0
Liver-HCC::SP112274	0	0	0	7686	0	0	0
Liver-HCC::SP50105	0	0	0	12516	0	0	0
Liver-HCC::SP112276	0	0	0	6953	0	0	0
Liver-HCC::SP99019	0	0	0	9650	0	0	0
Liver-HCC::SP99021	0	0	0	10276	0	0	0
Liver-HCC::SP112283	0	0	0	9093	0	0	0
Liver-HCC::SP112288	0	0	0	9356	0	0	0
Liver-HCC::SP99025	0	0	0	12739	0	0	0
Liver-HCC::SP112290	0	0	0	16503	0	0	0
Liver-HCC::SP99029	0	0	0	17320	0	0	0
Liver-HCC::SP99033	0	0	0	16160	0	0	0
Liver-HCC::SP99037	0	0	0	4360	0	0	0
Liver-HCC::SP99041	0	0	0	11367	0	0	0
Liver-HCC::SP99045	0	0	0	13274	0	0	0
Liver-HCC::SP112300	0	0	6267	0	0	0	0
Liver-HCC::SP99049	0	0	0	15943	0	0	0
Liver-HCC::SP112304	0	0	0	11496	0	0	0
Liver-HCC::SP50107	0	0	0	17711	0	0	0
Liver-HCC::SP112310	0	0	0	17942	0	0	0
Liver-HCC::SP99053	0	0	0	10064	0	0	0
Liver-HCC::SP99057	0	0	0	2472	0	0	0
Liver-HCC::SP99061	0	0	0	0	0	0	18830
Liver-HCC::SP50109	0	0	0	11586	0	0	0
Liver-HCC::SP99065	0	0	0	8742	0	0	0
Liver-HCC::SP106993	0	0	0	0	0	0	17892
Liver-HCC::SP50111	0	0	0	9259	0	0	0
Liver-HCC::SP99069	0	0	0	14271	0	0	0
Liver-HCC::SP99073	0	0	0	10715	0	0	0
Liver-HCC::SP99077	0	0	0	8656	0	0	0
Liver-HCC::SP99081	0	0	0	10658	0	0	0
Liver-HCC::SP99085	0	0	0	12314	0	0	0
Liver-HCC::SP99089	0	0	0	8185	0	0	0
Liver-HCC::SP99093	0	0	0	20318	0	0	0
Liver-HCC::SP99097	0	0	0	2777	0	0	0
Liver-HCC::SP99101	0	0	0	6345	0	0	0
Liver-HCC::SP106998	0	0	0	15663	0	0	0
Liver-HCC::SP99105	0	0	0	5247	0	0	0
Liver-HCC::SP99109	0	0	0	15108	0	0	0
Liver-HCC::SP50113	0	0	0	27463	0	0	0
Liver-HCC::SP50115	0	0	0	13384	0	0	0
Liver-HCC::SP50117	0	0	0	10692	0	0	0
Liver-HCC::SP107004	0	0	0	16127	0	0	0
Liver-HCC::SP99117	0	0	0	13998	0	0	0
Liver-HCC::SP99121	0	0	0	15753	0	0	0
Liver-HCC::SP107007	0	0	0	14920	0	0	0
Liver-HCC::SP99125	0	0	0	12711	0	0	0
Liver-HCC::SP99129	0	0	0	15456	0	0	0
Liver-HCC::SP99133	0	0	0	11686	0	0	0
Liver-HCC::SP50119	0	0	0	17049	0	0	0
Liver-HCC::SP99137	0	0	0	16402	0	0	0
Liver-HCC::SP50121	0	0	0	9395	0	0	0
Liver-HCC::SP50123	0	0	0	14441	0	0	0
Liver-HCC::SP99141	0	0	0	11441	0	0	0
Liver-HCC::SP50125	0	0	0	12442	0	0	0
Liver-HCC::SP99145	0	0	0	5865	0	0	0
Liver-HCC::SP99149	0	0	0	13341	0	0	0
Liver-HCC::SP50129	0	0	0	9602	0	0	0
Liver-HCC::SP99153	0	0	0	7971	0	0	0
Liver-HCC::SP99157	0	0	0	8810	0	0	0
Liver-HCC::SP99161	0	0	0	7892	0	0	0
Liver-HCC::SP99165	0	0	0	11398	0	0	0
Liver-HCC::SP50131	0	0	0	18844	0	0	0
Liver-HCC::SP50133	0	0	0	7495	0	0	0
Liver-HCC::SP99169	0	0	0	6902	0	0	0
Liver-HCC::SP50135	0	0	0	10654	0	0	0
Liver-HCC::SP50137	0	0	0	4022	0	0	0
Liver-HCC::SP99173	0	0	0	18933	0	0	0
Liver-HCC::SP99177	0	0	0	13281	0	0	0
Liver-HCC::SP99181	0	0	0	11523	0	0	0
Liver-HCC::SP50139	0	0	0	6473	0	0	0
Liver-HCC::SP107010	0	0	0	13874	0	0	0
Liver-HCC::SP99189	0	0	0	7922	0	0	0
Liver-HCC::SP50141	0	0	0	2029	0	0	0
Liver-HCC::SP99193	0	0	0	9322	0	0	0
Liver-HCC::SP50145	0	0	0	7202	0	0	0
Liver-HCC::SP50147	0	0	0	15961	0	0	0
Liver-HCC::SP107012	0	0	0	44121	0	0	0
Liver-HCC::SP50149	0	0	0	12402	0	0	0
Liver-HCC::SP107017	0	0	0	8082	0	0	0
Liver-HCC::SP107019	0	0	0	10243	0	0	0
Liver-HCC::SP107023	0	0	0	8724	0	0	0
Liver-HCC::SP50151	0	0	0	10518	0	0	0
Liver-HCC::SP50153	0	0	0	17471	0	0	0
Liver-HCC::SP99197	23488	0	0	0	0	0	0
Liver-HCC::SP50155	0	0	0	18772	0	0	0
Liver-HCC::SP99201	0	0	0	5285	0	0	0
Liver-HCC::SP50157	0	0	0	8883	0	0	0
Liver-HCC::SP99205	0	0	0	9516	0	0	0
Liver-HCC::SP50159	0	0	0	12076	0	0	0
Liver-HCC::SP50161	0	0	0	17709	0	0	0
Liver-HCC::SP107025	0	0	0	13066	0	0	0
Liver-HCC::SP107028	0	0	0	10439	0	0	0
Liver-HCC::SP50163	0	0	0	14323	0	0	0
Liver-HCC::SP99217	0	0	0	6262	0	0	0
Liver-HCC::SP50165	0	0	0	13273	0	0	0
Liver-HCC::SP107030	0	0	0	10174	0	0	0
Liver-HCC::SP50167	0	0	0	13750	0	0	0
Liver-HCC::SP99229	0	0	0	6587	0	0	0
Liver-HCC::SP99233	0	0	0	7334	0	0	0
Liver-HCC::SP107032	0	0	0	5054	0	0	0
Liver-HCC::SP50169	0	0	0	17862	0	0	0
Liver-HCC::SP50171	0	0	0	17730	0	0	0
Liver-HCC::SP50173	0	0	0	10374	0	0	0
Liver-HCC::SP50175	0	0	0	4180	0	0	0
Liver-HCC::SP107034	0	0	0	8923	0	0	0
Liver-HCC::SP50179	0	0	0	11440	0	0	0
Liver-HCC::SP99237	0	0	0	7427	0	0	0
Liver-HCC::SP107037	0	0	0	12318	0	0	0
Liver-HCC::SP107041	0	0	0	8709	0	0	0
Liver-HCC::SP50181	0	0	0	10380	0	0	0
Liver-HCC::SP99249	0	0	0	7970	0	0	0
Liver-HCC::SP99253	0	0	0	11933	0	0	0
Liver-HCC::SP50183	0	0	0	20347	0	0	0
Liver-HCC::SP99257	0	0	0	18200	0	0	0
Liver-HCC::SP107044	0	0	0	5860	0	0	0
Liver-HCC::SP50185	0	0	0	7998	0	0	0
Lung-AdenoCA::SP53460	0	0	0	0	53534	0	0
Lung-AdenoCA::SP50827	0	0	0	0	40159	0	0
Lung-AdenoCA::SP50263	10313	0	0	0	0	0	0
Lung-AdenoCA::SP50317	0	16156	0	0	0	0	0
Lung-AdenoCA::SP54113	0	0	0	0	110327	0	0
Lung-AdenoCA::SP50406	0	0	0	587	0	0	0
Lung-AdenoCA::SP51824	0	24299	0	0	0	0	0
Lung-AdenoCA::SP55387	0	0	0	0	20258	0	0
Lung-AdenoCA::SP52779	0	0	0	0	38395	0	0
Lung-AdenoCA::SP55235	0	0	0	0	113803	0	0
Lung-AdenoCA::SP50713	0	14053	0	0	0	0	0
Lung-AdenoCA::SP50611	0	0	0	0	53404	0	0
Lung-AdenoCA::SP50485	0	0	0	2322	0	0	0
Lung-AdenoCA::SP51037	0	0	0	4261	0	0	0
Lung-AdenoCA::SP55142	0	0	0	0	157043	0	0
Lung-AdenoCA::SP53387	0	42320	0	0	0	0	0
Lung-AdenoCA::SP54745	47720	0	0	0	0	0	0
Lung-AdenoCA::SP52284	0	0	0	5233	0	0	0
Lung-AdenoCA::SP53618	0	0	0	0	61322	0	0
Lung-AdenoCA::SP52232	0	0	0	0	25936	0	0
Lung-AdenoCA::SP50412	0	0	0	2099	0	0	0
Lung-AdenoCA::SP50321	0	0	0	0	12669	0	0
Lung-AdenoCA::SP53548	10088	0	0	0	0	0	0
Lung-AdenoCA::SP55004	0	0	0	568	0	0	0
Lung-AdenoCA::SP56079	0	0	0	0	48259	0	0
Lung-AdenoCA::SP56168	0	0	33038	0	0	0	0
Lung-AdenoCA::SP54363	0	0	0	0	42875	0	0
Lung-AdenoCA::SP53810	0	0	0	0	185584	0	0
Lung-AdenoCA::SP50518	0	0	0	6317	0	0	0
Lung-AdenoCA::SP56303	0	0	0	0	15716	0	0
Lung-AdenoCA::SP55711	0	0	7859	0	0	0	0
Lung-AdenoCA::SP55509	0	0	0	0	66135	0	0
